OrderID,OrderDate,Product,Region,Salesperson,Quantity,UnitPrice,TotalSales
1,2023-03-18,Headphones,South,Sneha,5,37130,185650
2,2023-05-12,Smartwatch,South,Kiran,6,47221,283326
3,2023-05-17,Laptop,East,Sneha,8,46694,373552
4,2023-11-05,Printer,South,Rahul,8,5633,45064
5,2023-08-12,Keyboard,North,Ravi,3,38156,114468
6,2023-06-01,Printer,East,Amit,6,31999,191994
7,2023-09-23,Tablet,North,Sneha,1,2386,2386
8,2023-09-10,Mobile,North,Priya,6,23298,139788
9,2023-05-31,Monitor,South,Rahul,4,13832,55328
10,2023-03-12,Camera,West,Ravi,1,42102,42102
11,2023-06-23,Keyboard,East,Rahul,2,18965,37930
12,2023-10-09,Camera,North,Rahul,8,32962,263696
13,2023-01-24,Tablet,South,Meera,10,45090,450900
14,2023-02-28,Monitor,East,Kiran,2,38032,76064
15,2023-02-15,Printer,North,Meera,5,17834,89170
16,2023-04-08,Printer,West,Rahul,1,14249,14249
17,2023-02-17,Mobile,South,Kiran,4,40284,161136
18,2023-04-29,Camera,South,Amit,8,15004,120032
19,2023-12-31,Keyboard,North,Arjun,5,19855,99275
20,2023-10-18,Mobile,West,Meera,4,27607,110428
21,2023-03-12,Mouse,East,Kiran,5,20012,100060
22,2023-05-08,Monitor,North,Meera,2,48256,96512
23,2023-12-12,Camera,West,Arjun,7,3234,22638
24,2023-04-12,Smartwatch,East,Rahul,4,45999,183996
25,2023-01-09,Printer,North,Ravi,8,17676,141408
26,2023-02-27,Tablet,North,Priya,8,30492,243936
27,2023-02-05,Monitor,West,Ravi,7,4238,29666
28,2023-08-17,Mouse,North,Sneha,8,39472,315776
29,2023-08-21,Headphones,East,Priya,5,29358,146790
30,2023-08-22,Monitor,South,Sneha,8,31125,249000
31,2023-09-15,Camera,East,Priya,3,18034,54102
32,2023-04-18,Mouse,South,Kiran,6,43773,262638
33,2023-06-06,Mouse,South,Priya,5,14754,73770
34,2023-08-10,Mouse,South,Priya,1,30828,30828
35,2023-12-17,Headphones,West,Meera,9,4142,37278
36,2023-06-19,Camera,South,Ravi,9,4355,39195
37,2023-10-06,Mouse,South,Rahul,8,5893,47144
38,2023-02-04,Camera,West,Amit,9,46680,420120
39,2023-01-21,Laptop,South,Amit,4,25933,103732
40,2023-08-22,Camera,West,Kiran,6,15611,93666
41,2023-02-16,Keyboard,South,Ravi,7,6077,42539
42,2023-08-20,Mobile,North,Kiran,1,47174,47174
43,2023-09-25,Camera,East,Meera,1,43968,43968
44,2023-01-13,Mouse,North,Sneha,8,21118,168944
45,2023-12-02,Camera,North,Rahul,6,35336,212016
46,2023-06-09,Keyboard,South,Meera,7,42311,296177
47,2023-10-26,Smartwatch,South,Meera,3,12839,38517
48,2023-09-07,Laptop,North,Priya,6,35649,213894
49,2023-06-24,Camera,North,Ravi,8,41425,331400
50,2023-04-15,Mouse,West,Kiran,6,18150,108900
51,2023-07-03,Laptop,South,Kiran,8,13129,105032
52,2023-05-18,Laptop,South,Ravi,7,34836,243852
53,2023-11-09,Mobile,North,Priya,8,46678,373424
54,2023-07-12,Mouse,South,Arjun,6,15364,92184
55,2023-02-14,Smartwatch,North,Priya,2,23058,46116
56,2023-12-15,Tablet,West,Sneha,5,22040,110200
57,2023-09-22,Tablet,North,Rahul,2,13478,26956
58,2023-02-26,Printer,North,Meera,4,37222,148888
59,2023-03-24,Camera,South,Meera,7,35637,249459
60,2023-06-18,Smartwatch,East,Ravi,6,13388,80328
61,2023-12-23,Printer,East,Sneha,4,17645,70580
62,2023-08-07,Tablet,South,Sneha,8,15134,121072
63,2023-05-18,Smartwatch,East,Ravi,3,32463,97389
64,2023-07-28,Mobile,West,Amit,7,29756,208292
65,2023-09-28,Printer,East,Sneha,1,31491,31491
66,2023-01-05,Mouse,West,Amit,9,27376,246384
67,2023-04-28,Monitor,North,Priya,8,49757,398056
68,2023-12-09,Mobile,West,Kiran,4,9131,36524
